0001	Empty Slot
0002	Filled Slot
0003	Aptonoth Gene
0004	Popo Gene
0005	Apceros Gene
0006	Yian Kut-Ku Gene
0007	B. Yian Kut-Kue Gene
0008	Gypceros Gene
0009	P. Gypceros Gene
000A	Yian Garuga Gene
000B	Arzuros Gene
000C	Lagombi Gene
000D	Velocidrome Gene
000E	Iodrome Gene
000F	Gendrome Gene
0010	Bulldrome Gene
0011	Zamtrios Gene
0012	Khezu Gene
0013	Red Khezu Gene
0014	Tigrex Gene
0015	Brute Tigrex Gene
0016	Nargacuga Gene
0017	G. Nargacuga Gene
0018	Rathian Gene
0019	Pink Rathian Gene
001A	Gold Rathian Gene
001B	Rathalos Gene
001C	Azure Rathalos Gene
001D	Silver Rathalos Gene
001E	Ratha's Gene
001F	Diablos Gene
0020	Black Diablos Gene
0021	Monoblos Gene
0022	White Monoblos Gene
0023	Basarios Gene
0024	Ruby Basarios Gene
0025	Gravios Gene
0026	Black Gravios Gene
0027	Qurupeco Gene
0028	C. Qurupeco Gene
0029	Royal Ludroth Gene
002A	Purple Ludroth Gene
002B	Congalala Gene
002C	E. Congalala Gene
002D	Nerscylla Gene
002E	S. Nerscylla Gene
002F	Cephadrome Gene
0030	*Plesioth Gene
0031	*Green Plesioth Gene
0032	Barioth Gene
0033	Sand Barioth Gene
0034	Barroth Gene
0035	Jade Barroth
0036	Uraggan Gene
0037	*Duramboros Gene
0038	Deviljho Gene
0039	Great Jaggi Gene
003A	Great Baggi Gene
003B	Kecha Wacha Gene
003C	A. Kecha Wacha Gene
003D	Zinogre Gene
003E	S. Zinogre Gene
003F	Lagiacrus Gene
0040	Ivory Lagiacrus Gene
0041	Brachydios Gene
0042	Kirin Gene
0043	Oroshi Kirin Gene
0044	Seregios Gene
0045	Warming Gene
0046	Cooling Gene
0047	Sturdy Gene
0048	Antivenom Gene
0049	Antiburn Gene
004A	Antishock Gene
004B	Antisleep Gene
004C	Antistench Gene
004D	Antiseal Gene
004E	Dampening Gene
004F	Antibleed Gene
0050	Antiblind Gene
0051	Painkiller Gene
0052	Poison Gene (S)
0053	Poison Gene (M)
0054	Poison Gene (L)
0055	Burning Gene (S)
0056	Burning Gene (M)
0057	Burning Gene (L)
0058	Paralyze Gene (S)
0059	Paralyze Gene (M)
005A	Paralyze Gene (L)
005B	Sealing Gene (S)
005C	Sealing Gene (M)
005D	Sealing Gene (L)
005E	Blinding Gene (S)
005F	Blinding Gene (M)
0060	Blinding Gene (L)
0061	Abnormal Gene
0062	*Abnormal Gene (M)
0063	*Abnormal Gene (L)
0064	Noxious Gene (S)
0065	Noxious Gene (M)
0066	Noxious Gene (L)
0067	Searing Gene (S)
0068	Searing Gene (M)
0069	Searing Gene (L)
006A	Shocking Gene (S)
006B	Shocking Gene (M)
006C	Shocking Gene (L)
006D	Hypnotic Gene (S)
006E	Hypnotic Gene (M)
006F	Hypnotic Gene (L)
0070	Stinking Gene (S)
0071	Stinking Gene (M)
0072	Stinking Gene (L)
0073	Cocoon Gene (S)
0074	Cocoon Gene (M)
0075	Cocoon Gene (L)
0076	Volatile Gene (S)
0077	Volatile Gene (M)
0078	Volatile Gene (L)
0079	Bleeding Gene (S)
007A	Bleeding Gene (M)
007B	Bleeding Gene (L)
007C	Dazzling Gene (S)
007D	Dazzling Gene (M)
007E	Dazzling Gene (L)
007F	Potent Gene (S)
0080	Potent Gene (M)
0081	Potent Gene (L)
0082	Hounding Gene
0083	Fire Res Gene (S)
0084	Fire Res Gene (M)
0085	Fire Res Gene (L)
0086	Water Res Gene (S)
0087	Water Res Gene (M)
0088	Water Res Gene (L)
0089	Ice Res Gene (S)
008A	Ice Res Gene (M)
008B	Ice Res Gene (L)
008C	Thndr Res Gene (S)
008D	Thndr Res Gene (M)
008E	Thndr Res Gene (L)
008F	Drgn Res Gene (S)
0090	Drgn Res Gene (M)
0091	Drgn Res Gene (L)
0092	All-Res Gene (S)
0093	All-Res Gene (M)
0094	All-Res Gene (L)
0095	Flaming Gene (S)
0096	Flaming Gene (M)
0097	Flaming Gene (L)
0098	Torrential Gene (S)
0099	Torrential Gene (M)
009A	Torrential Gene (L)
009B	Frigid Gene (S)
009C	Frigid Gene (M)
009D	Frigid Gene (L)
009E	Flashing Gene (S)
009F	Flashing Gene (M)
00A0	Flashing Gene (L)
