0001	Empty Slot
0002	Locked Slot
0003	アプトノス遺伝子
0004	ポポ遺伝子
0005	アプケロス遺伝子
0006	怪鳥遺伝子
0007	青怪鳥遺伝子
0008	毒怪鳥遺伝子
0009	紫毒怪鳥遺伝子
000A	黒狼鳥遺伝子
000B	青熊獣遺伝子
000C	白兔獣遺伝子
000D	ドスランポス遺伝子
000E	ドスイーオス遺伝子
000F	ドスゲネポス遺伝子
0010	大猪遺伝子
0011	化け鮫遺伝子
0012	フルフル遺伝子
0013	フルフル亜種遺伝子
0014	轟竜遺伝子
0015	黒轟竜遺伝子
0016	迅竜遺伝子
0017	緑迅竜遺伝子
0018	雌火竜遺伝子
0019	桜火竜遺伝子
001A	金火竜遺伝子
001B	火竜遺伝子
001C	蒼火竜遺伝子
001D	銀火竜遺伝子
001E	隻眼の火竜遺伝子
001F	角竜遺伝子
0020	黒角竜遺伝子
0021	一角竜遺伝子
0022	白一角竜遺伝子
0023	岩竜遺伝子
0024	桃岩竜遺伝子
0025	鎧竜遺伝子
0026	黒鎧竜遺伝子
0027	彩鳥遺伝子
0028	紅彩鳥遺伝子
0029	水獣遺伝子
002A	紫水獣遺伝子
002B	桃毛獣遺伝子
002C	緑毛獣遺伝子
002D	影蜘蛛遺伝子
002E	骸蜘蛛遺伝子
002F	砂竜遺伝子
0030	[D] 水竜遺伝子
0031	[D] 翼水竜遺伝子
0032	氷牙竜遺伝子
0033	風牙竜遺伝子
0034	土砂竜遺伝子
0035	氷砕竜遺伝子
0036	爆鎚竜遺伝子
0037	[D] 尾槌竜遺伝子
0038	恐暴竜遺伝子
0039	狗竜遺伝子
003A	眠狗竜遺伝子
003B	奇猿狐遺伝子
003C	白猿狐遺伝子
003D	雷狼竜遺伝子
003E	獄狼竜遺伝子
003F	海竜遺伝子
0040	白海竜遺伝子
0041	砕竜遺伝子
0042	キリン遺伝子
0043	キリン亜種遺伝子
0044	千刃竜遺伝子
0045	耐寒遺伝子
0046	耐暑遺伝子
0047	耐撃遺伝子
0048	耐毒遺伝子
0049	耐焼遺伝子
004A	耐痺遺伝子
004B	耐眠遺伝子
004C	耐臭遺伝子
004D	耐封遺伝子
004E	耐爆遺伝子
004F	耐裂遺伝子
0050	耐暗遺伝子
0051	耐痛遺伝子
0052	続毒小遺伝子
0053	続毒中遺伝子
0054	続毒大遺伝子
0055	続焼小遺伝子
0056	続焼大遺伝子
0057	続焼中遺伝子
0058	続痺小遺伝子
0059	続痺中遺伝子
005A	続痺大遺伝子
005B	続封小遺伝子
005C	続封中遺伝子
005D	続封大遺伝子
005E	続暗小遺伝子
005F	続暗中遺伝子
0060	続暗大遺伝子
0061	続異小遺伝子
0062	[D] 続異中遺伝子
0063	[D] 続異大遺伝子
0064	効毒小遺伝子
0065	効毒中遺伝子
0066	効毒大遺伝子
0067	効焼小遺伝子
0068	効焼中遺伝子
0069	効焼大遺伝子
006A	効痺小遺伝子
006B	効痺中遺伝子
006C	効痺大遺伝子
006D	効眠小遺伝子
006E	効眠中遺伝子
006F	効眠大遺伝子
0070	効臭小遺伝子
0071	効臭中遺伝子
0072	効臭大遺伝子
0073	効封小遺伝子
0074	効封中遺伝子
0075	効封大遺伝子
0076	効爆小遺伝子
0077	効爆中遺伝子
0078	効爆大遺伝子
0079	効裂小遺伝子
007A	効裂中遺伝子
007B	効裂大遺伝子
007C	効暗小遺伝子
007D	効暗中遺伝子
007E	効暗大遺伝子
007F	効異小遺伝子
0080	効異中遺伝子
0081	効異大遺伝子
0082	追撃遺伝子
0083	耐火小遺伝子
0084	耐火中遺伝子
0085	耐火大遺伝子
0086	耐水小遺伝子
0087	耐水中遺伝子
0088	耐水大遺伝子
0089	耐氷小遺伝子
008A	耐氷中遺伝子
008B	耐氷大遺伝子
008C	耐雷小遺伝子
008D	耐雷中遺伝子
008E	耐雷大遺伝子
008F	耐龍小遺伝子
0090	耐龍中遺伝子
0091	耐龍大遺伝子
0092	耐全小遺伝子
0093	耐全中遺伝子
0094	耐全大遺伝子
0095	火炎小遺伝子
0096	火炎中遺伝子
0097	火炎大遺伝子
0098	流水小遺伝子
0099	流水中遺伝子
